A/C,R,O,N,RU,U,UO,RO
housedust HR,0.19858156,0.117021277,0.046099291,0.170212766,0.216312057,0.120567376,0.131205674
housedust LR,0.238636364,0.147727273,0.045454545,0.045454545,0.261363636,0.181818182,0.079545455
housedust MR,0.209059233,0.111498258,0.076655052,0.118466899,0.264808362,0.104529617,0.114982578
housedust NR,0.101449275,0.173913043,0.043478261,0.130434783,0.420289855,0.043478261,0.086956522
cottondust LR,0.166666667,0.108695652,0.079710145,0.130434783,0.311594203,0.115942029,0.086956522
cottondust HR,0.177419355,0.088709677,0.048387097,0.14516129,0.306451613,0.177419355,0.056451613
cottondust MR,0.200729927,0.124087591,0.047445255,0.156934307,0.204379562,0.113138686,0.153284672
cottondust KR,1,0,0,0,0,0,0
cottondust NR,0.227513228,0.158730159,0.063492063,0.084656085,0.275132275,0.074074074,0.116402116
aspergilus LR,0.189189189,0.128378378,0.054054054,0.060810811,0.331081081,0.121621622,0.114864865
aspergilus HR,0.213793103,0.186206897,0.055172414,0.110344828,0.193103448,0.096551724,0.144827586
aspergilus MR,0.18442623,0.090163934,0.053278689,0.204918033,0.266393443,0.114754098,0.086065574
aspergilus KR,0.428571429,0,0.142857143,0.142857143,0,0.285714286,0
aspergilus NR,0.203296703,0.120879121,0.065934066,0.104395604,0.258241758,0.115384615,0.131868132
pollen LR,0.258064516,0.053763441,0.053763441,0.096774194,0.290322581,0.129032258,0.11827957
pollen HR,0.196,0.14,0.048,0.124,0.212,0.144,0.136
pollen MR,0.18125,0.109375,0.06875,0.14375,0.290625,0.1,0.10625
pollen KR,0.2,0.2,0,0.6,0,0,0
pollen NR,0.206896552,0.24137931,0.051724138,0.103448276,0.275862069,0.051724138,0.068965517
parthenium LR,0.224489796,0.12244898,0.081632653,0.163265306,0.306122449,0.102040816,0
parthenium HR,0.183462532,0.126614987,0.054263566,0.15503876,0.23255814,0.11369509,0.134366925
parthenium MR,0.217898833,0.116731518,0.062256809,0.089494163,0.287937743,0.120622568,0.105058366
parthenium KR,0,1,0,0,0,0,0
parthenium NR,0.1875,0.125,0.03125,0.125,0.3125,0.09375,0.125
cockroach LR,0.141176471,0.152941176,0.023529412,0.2,0.294117647,0.070588235,0.117647059
cockroach HR,0.18694362,0.100890208,0.077151335,0.136498516,0.24925816,0.109792285,0.139465875
cockroach MR,0.236514523,0.132780083,0.053941909,0.124481328,0.244813278,0.141078838,0.066390041
cockroach KR,0.333333333,0.333333333,0,0,0.333333333,0,0
cockroach NR,0.183333333,0.166666667,0.016666667,0.033333333,0.333333333,0.1,0.166666667
catdander LR,0.25,0.166666667,0,0.166666667,0.333333333,0,0.083333333
catdander HR,0,0,0,0,0.5,0,0.5
catdander KR,0.204580153,0.128244275,0.05648855,0.132824427,0.259541985,0.114503817,0.103816794
catdander MR,0.25,0,0,0.25,0.5,0,0
catdander NR,0.117647059,0.078431373,0.098039216,0.098039216,0.215686275,0.156862745,0.235294118
dosfur LR,0.121212121,0.03030303,0.090909091,0.242424242,0.090909091,0.212121212,0.212121212
dosfur HR,0.090909091,0.090909091,0.090909091,0.454545455,0.181818182,0.090909091,0
dosfur KR,0.203821656,0.125796178,0.055732484,0.122611465,0.270700637,0.116242038,0.105095541
dosfur MR,0.12,0.2,0.04,0.08,0.2,0.04,0.32
